country,year,total_cases,total_deaths
Afghanistan,2020,8284992,287304
Afghanistan,2021,39177420,1762889
Afghanistan,2022,67576323,2808171
Afghanistan,2023,80261137,2890083
Afghanistan,2024,50689109,1734100
Africa,2020,285057531,7179617
Africa,2021,2222352066,56635089
Africa,2022,4480156023,92413289
Africa,2023,4777567827,94503769
Africa,2024,2851752651,56224051
Albania,2020,3444855,82502
Albania,2021,50363543,861222
Albania,2022,107246167,1279329
Albania,2023,121890513,1314865
Albania,2024,72689984,782265
Algeria,2020,10188569,365661
Algeria,2021,56701717,1549673
Algeria,2022,96321805,2489192
Algeria,2023,99188086,2511565
Algeria,2024,59030541,1493177
American Samoa,2020,0,0
American Samoa,2021,542,0
American Samoa,2022,2036654,8421
American Samoa,2023,3042978,12410
American Samoa,2024,1813903,7378
Andorra,2020,650844,15185
Andorra,2021,5023319,44435
Andorra,2022,15435555,55677
Andorra,2023,17507968,58028
Andorra,2024,10419255,34503
Angola,2020,1275899,35215
Angola,2021,14570875,363145
Angola,2022,36704361,694578
Angola,2023,38591122,706221
Angola,2024,23299220,420329
Anguilla,2020,1005,0
Anguilla,2021,124455,219
Anguilla,2022,1174552,3568
Anguilla,2023,1424960,4380
Anguilla,2024,847168,2604
Antigua and Barbuda,2020,22209,837
Antigua and Barbuda,2021,674164,18267
Antigua and Barbuda,2022,2961575,50756
Antigua and Barbuda,2023,3323690,53290
Antigua and Barbuda,2024,1976002,31682
Argentina,2020,150996020,5007650
Argentina,2021,1457678938,33519693
Argentina,2022,3348631550,46863263
Argentina,2023,3665202505,47616197
Argentina,2024,2189570679,28343695
Armenia,2020,14136861,240122
Armenia,2021,85728614,1722288
Armenia,2022,153950248,3122635
Armenia,2023,163857648,3192361
Armenia,2024,98075866,1904471
Aruba,2020,540955,4547
Aruba,2021,4282163,42200
Aruba,2022,13956839,80359
Aruba,2023,16115909,105397
Aruba,2024,9596608,63364
Asia,2020,2032098252,36990654
Asia,2021,19451360426,285284188
Asia,2022,56789683955,520667902
Asia,2023,1.08492E+11,592271844
Asia,2024,65401922649,355190292
Australia,2020,4960098,134877
Australia,2021,28228656,441513
Australia,2022,2568627127,3984691
Australia,2023,4157258707,8046561
Australia,2024,2565031452,5427117
Austria,2020,19892748,392511
Austria,2021,244380886,4535793
Austria,2022,1527358495,7192973
Austria,2023,2197012254,8165795
Austria,2024,1319866969,4889878
Azerbaijan,2020,11877460,149252
Azerbaijan,2021,135876676,1866836
Azerbaijan,2022,286080041,3511336
Azerbaijan,2023,303459612,3740177
Azerbaijan,2024,181225875,2246601
Bahamas,2020,740494,16826
Bahamas,2021,5306416,127410
Bahamas,2022,12775845,293012
Bahamas,2023,13839928,307012
Bahamas,2024,8366057,184019
Bahrain,2020,12565889,45883
Bahrain,2021,78914086,366990
Bahrain,2022,215243764,542746
Bahrain,2023,254264110,560640
Bahrain,2024,151165238,333312
Bangladesh,2020,67219692,945678
Bangladesh,2021,384064799,6430141
Bangladesh,2022,713088180,10630428
Bangladesh,2023,745280182,10752994
Bangladesh,2024,444704521,6399569
Barbados,2020,43392,1806
Barbados,2021,2799616,26942
Barbados,2022,29114554,163878
Barbados,2023,39200589,214373
Barbados,2024,23467665,128681
Belarus,2020,19679206,167005
Belarus,2021,156707361,1176446
Belarus,2022,345919595,2499248
Belarus,2023,362823505,2598070
Belarus,2024,215706029,1544606
Belgium,2020,52593248,2893426
Belgium,2021,406918181,8963409
Belgium,2022,1489497080,11521674
Belgium,2023,1747692638,12460844
Belgium,2024,1054872221,7451563
Belize,2020,527505,10338
Belize,2021,6169861,136147
Belize,2022,22378975,243891
Belize,2023,25909860,251120
Belize,2024,15494909,149296
Benin,2020,449633,7409
Benin,2021,4527142,40310
Benin,2022,9888138,59458
Benin,2023,10226406,59495
Benin,2024,6083812,35371
Bermuda,2020,49292,2250
Bermuda,2021,1060885,15774
Bermuda,2022,5500672,49988
Bermuda,2023,6875661,59574
Bermuda,2024,4092620,35805
Bhutan,2020,51488,0
Bhutan,2021,668098,662
Bhutan,2022,17181661,6079
Bhutan,2023,22872771,7665
Bhutan,2024,13605249,4557
Bolivia,2020,21861694,1188557
Bolivia,2021,142792963,5622891
Bolivia,2022,355122636,7956417
Bolivia,2023,438129318,8166507
