country,year,unemployment_rate,gdp_usd,total_cases,total_deaths
afghanistan,2020,11.71,19955929052.0,8284992,287304
afghanistan,2021,11.99,14259995441.0,39177420,1762889
afghanistan,2022,14.1,14497243872.0,67576323,2808171
afghanistan,2023,13.99,17152234637.0,80261137,2890083
albania,2020,11.69,15241455556.0,3444855,82502
albania,2021,11.47,18032009220.0,50363543,861222
albania,2022,10.14,19017244117.0,107246167,1279329
albania,2023,10.11,23547180412.0,121890513,1314865
algeria,2020,14.06,165000000000.0,10188569,365661
algeria,2021,13.63,186000000000.0,56701717,1549673
algeria,2022,12.35,226000000000.0,96321805,2489192
algeria,2023,11.7,248000000000.0,99188086,2511565
angola,2020,16.69,48501561204.0,1275899,35215
angola,2021,15.8,66505129988.0,14570875,363145
angola,2022,14.6,104000000000.0,36704361,694578
angola,2023,14.54,84875162197.0,38591122,706221
argentina,2020,11.46,386000000000.0,150996020,5007650
argentina,2021,8.74,487000000000.0,1457678938,33519693
argentina,2022,6.81,633000000000.0,3348631550,46863263
argentina,2023,6.14,646000000000.0,3665202505,47616197
armenia,2020,18.18,12641698583.0,14136861,240122
armenia,2021,15.47,13878908629.0,85728614,1722288
armenia,2022,13.38,19513506553.0,153950248,3122635
armenia,2023,13.25,24085749592.0,163857648,3192361
australia,2020,6.46,1330000000000.0,4960098,134877
australia,2021,5.12,1560000000000.0,28228656,441513
australia,2022,3.73,1690000000000.0,2568627127,3984691
australia,2023,3.67,1730000000000.0,4157258707,8046561
austria,2020,5.2,434000000000.0,19892748,392511
austria,2021,6.46,480000000000.0,244380886,4535793
austria,2022,4.99,472000000000.0,1527358495,7192973
austria,2023,5.26,512000000000.0,2197012254,8165795
azerbaijan,2020,7.24,42693000000.0,11877460,149252
azerbaijan,2021,6.04,54825411765.0,135876676,1866836
azerbaijan,2022,5.65,78807470588.0,286080041,3511336
azerbaijan,2023,5.64,72428470588.0,303459612,3740177
bahrain,2020,1.78,35837632979.0,12565889,45883
bahrain,2021,1.54,40840212766.0,78914086,366990
bahrain,2022,1.33,46458191489.0,215243764,542746
bahrain,2023,1.15,46192260638.0,254264110,560640
bangladesh,2020,5.44,374000000000.0,67219692,945678
bangladesh,2021,5.33,416000000000.0,384064799,6430141
bangladesh,2022,4.59,460000000000.0,713088180,10630428
bangladesh,2023,4.45,437000000000.0,745280182,10752994
